Date,Open,High,Low,Close,Adj Close,Volume,KC_Middle,KC_Upper,KC_Lower,KC_Width,KC_ATR,KC_PercentB,long_entry,short_entry,long_exit,short_exit
2025-10-01 00:00:00-04:00,255.0399932861328,258.7900085449219,254.92999267578125,255.4499969482422,255.4499969482422,48713900,,,,,,,False,False,False,False
2025-10-02 00:00:00-04:00,256.5799865722656,258.17999267578125,254.14999389648438,257.1300048828125,257.1300048828125,42630200,,,,,,,False,False,False,False
2025-10-03 00:00:00-04:00,254.6699981689453,259.239990234375,253.9499969482422,258.0199890136719,258.0199890136719,49155600,,,,,,,False,False,False,False
2025-10-06 00:00:00-04:00,257.989990234375,259.07000732421875,255.0500030517578,256.69000244140625,256.69000244140625,44664100,,,,,,,False,False,False,False
2025-10-07 00:00:00-04:00,256.80999755859375,257.3999938964844,255.42999267578125,256.4800109863281,256.4800109863281,31955800,,,,,,,False,False,False,False
2025-10-08 00:00:00-04:00,256.5199890136719,258.5199890136719,256.1099853515625,258.05999755859375,258.05999755859375,36496900,,,,,,,False,False,False,False
2025-10-09 00:00:00-04:00,257.80999755859375,258.0,253.13999938964844,254.0399932861328,254.0399932861328,38322000,,,,,,,False,False,False,False
2025-10-10 00:00:00-04:00,254.94000244140625,256.3800048828125,244.0,245.27000427246094,245.27000427246094,61999100,,,,,,,False,False,False,False
2025-10-13 00:00:00-04:00,249.3800048828125,249.69000244140625,245.55999755859375,247.66000366210938,247.66000366210938,38142900,,,,,,,False,False,False,False
2025-10-14 00:00:00-04:00,246.60000610351562,248.85000610351562,244.6999969482422,247.77000427246094,247.77000427246094,35478000,,,,,,,False,False,False,False
2025-10-15 00:00:00-04:00,249.49000549316406,251.82000732421875,247.47000122070312,249.33999633789062,249.33999633789062,33893600,,,,,,,False,False,False,False
2025-10-16 00:00:00-04:00,248.25,249.0399932861328,245.1300048828125,247.4499969482422,247.4499969482422,39777000,,,,,,,False,False,False,False
2025-10-17 00:00:00-04:00,248.02000427246094,253.3800048828125,247.27000427246094,252.2899932861328,252.2899932861328,49147000,,,,,,,False,False,False,False
2025-10-20 00:00:00-04:00,255.88999938964844,264.3800048828125,255.6300048828125,262.239990234375,262.239990234375,90483000,,,,,,,False,False,False,False
2025-10-21 00:00:00-04:00,261.8800048828125,265.2900085449219,261.8299865722656,262.7699890136719,262.7699890136719,46695900,,,,,,,False,False,False,False
2025-10-22 00:00:00-04:00,262.6499938964844,262.8500061035156,255.42999267578125,258.45001220703125,258.45001220703125,45015300,,,,,,,False,False,False,False
2025-10-23 00:00:00-04:00,259.94000244140625,260.6199951171875,258.010009765625,259.5799865722656,259.5799865722656,32754900,,,,,,,False,False,False,False
2025-10-24 00:00:00-04:00,261.19000244140625,264.1300048828125,259.17999267578125,262.82000732421875,262.82000732421875,38253700,,,,,,,False,False,False,False
2025-10-27 00:00:00-04:00,264.8800048828125,269.1199951171875,264.6499938964844,268.80999755859375,268.80999755859375,44888200,,,,,,,False,False,False,False
2025-10-28 00:00:00-04:00,268.989990234375,269.8900146484375,268.1499938964844,269.0,269.0,41534800,258.2701562627995,268.0827656535265,248.45754687207247,19.625218781454038,4.906304695363509,1.0,False,False,False,False
2025-10-29 00:00:00-04:00,269.2799987792969,271.4100036621094,267.1099853515625,269.70001220703125,269.70001220703125,51086700,259.3307763400155,269.0221284537792,249.63942422625183,19.38270422752737,4.845676056881842,1.0,False,False,False,False
2025-10-30 00:00:00-04:00,271.989990234375,274.1400146484375,268.4800109863281,271.3999938964844,271.3999938964844,69886500,260.4745125467204,270.3287301815296,250.6202949119112,19.708435269618377,4.927108817404594,1.0,False,False,False,False
2025-10-31 00:00:00-04:00,276.989990234375,277.32000732421875,269.1600036621094,270.3699951171875,270.3699951171875,86096700,261.59916233920785,272.099958942958,251.0983657354577,21.001593207500292,5.250398301875073,0.9176270195942724,False,False,False,False
